index,filename,label1,score1,label2,score2,label3,score3,label4,score4,label5,score5
32,rot-4.0_img_test_depth_3_001.jpg,Water,0.9388793110847473,Vehicle,0.9192410707473755,Flood,0.8778722286224365,Mode of transport,0.8081701397895813,Waterway,0.7984822392463684
33,image_171.jpg,Flood,0.9345862865447998,Water,0.9100271463394165,Water resources,0.8941220045089722,Geological phenomenon,0.7950030565261841,Travel,0.7493966817855835
34,image_165.jpg,Water,0.9388793110847473,Flood,0.920566976070404,Water resources,0.8292689323425293,Waterway,0.8120219707489014,Event,0.7813612222671509
35,crop-0.84_img_test_depth_2_002.jpg,Water,0.966123640537262,Vehicle,0.955994725227356,Pickup truck,0.9065268039703369,Mud,0.8769795894622803,Car,0.8496900796890259
36,image_158.jpg,Water,0.8073040843009949,Recreation,0.5942989587783813, , , , , , 
37,image_238.jpg,Water,0.9578154683113098,Water resources,0.9457682967185974,Floodplain,0.8338140249252319,Flood,0.7983214259147644,Land lot,0.7516925930976868
38,image_204.jpg,Flood,0.9123522043228149,Geological phenomenon,0.8969934582710266,Mode of transport,0.8908902406692505,Transport,0.8513096570968628,Vehicle,0.8377289175987244
39,image_239.jpg,Water,0.9578154683113098,Flood,0.8940895199775696,Rain,0.8901265263557434,Precipitation,0.7545826435089111,Waterway,0.7336461544036865
40,Chicago_Flooding.0.jpg,Water,0.966123640537262,Waterway,0.9461675882339478,River,0.8886295557022095,Canal,0.8670123815536499,Reflecting pool,0.8653092384338379
41,5ec70efb3e4b6.image.jpg,Water resources,0.9724562168121338,Water,0.9709687829017639,River,0.942696750164032,Bank,0.9283600449562073,Watercourse,0.9120049476623535
42,image_176.jpg,Water,0.9388793110847473,Flood,0.9084757566452026,Water resources,0.8594235181808472,Event,0.7105559706687927,Adaptation,0.6696612238883972
43,web_19122755609862.jpg,Water,0.9512578248977661,Water resources,0.9443798661231995,Waterway,0.9098944664001465,River,0.8933741450309753,Floodplain,0.857775866985321
44,rot-3.0_img_test_depth_0_001.jpg,Land vehicle,0.9961627125740051,Car,0.9870125651359558,Tire,0.9834513664245605,Automotive tire,0.9763805270195007,Vehicle,0.963193953037262
